Lubartów,Poland,Lublin Voivodeship,765927
Łomża,Poland,Podlasie,766027
Łomianki,Poland,Masovian Voivodeship,766042
Lidzbark Warmiński,Poland,Warmian-Masurian Voivodeship,766307
Legionowo,Poland,Masovian Voivodeship,766555
Łęczna,Poland,Lublin Voivodeship,766583
Łapy,Poland,Podlasie,766783
Łańcut,Poland,Subcarpathian Voivodeship,766810
Krosno,Poland,Subcarpathian Voivodeship,767470
Krasnystaw,Poland,Lublin Voivodeship,767605
Kraśnik,Poland,Lublin Voivodeship,767623
Kozienice,Poland,Masovian Voivodeship,767814
Konstancin-Jeziorna,Poland,Masovian Voivodeship,768216
Końskie,Poland,Świętokrzyskie,768218
Kobyłka,Poland,Masovian Voivodeship,768905
Kielce,Poland,Świętokrzyskie,769250
Kętrzyn,Poland,Warmian-Masurian Voivodeship,769274
Józefów,Poland,Masovian Voivodeship,769981
Jędrzejów,Poland,Świętokrzyskie,770157
Jasło,Poland,Subcarpathian Voivodeship,770293
Jarosław,Poland,Subcarpathian Voivodeship,770380
Hrubieszów,Poland,Lublin Voivodeship,770966
Hajnówka,Poland,Podlasie,771158
Grodzisk Mazowiecki,Poland,Masovian Voivodeship,771401
Grajewo,Poland,Podlasie,771506
Gorlice,Poland,Lesser Poland Voivodeship,771804
Giżycko,Poland,Warmian-Masurian Voivodeship,772195
Gierłoż,Poland,Warmian-Masurian Voivodeship,772227
Garwolin,Poland,Masovian Voivodeship,772339
Ełk,Poland,Warmian-Masurian Voivodeship,772621
Działdowo,Poland,Warmian-Masurian Voivodeship,772748
Dęblin,Poland,Lublin Voivodeship,773357
Dębica,Poland,Subcarpathian Voivodeship,773380
Ciechanów,Poland,Masovian Voivodeship,774208
Chełm,Poland,Lublin Voivodeship,774558
Busko-Zdrój,Poland,Świętokrzyskie,774747
Brzesko,Poland,Lesser Poland Voivodeship,775183
Bochnia,Poland,Lesser Poland Voivodeship,775758
Biłgoraj,Poland,Lublin Voivodeship,775922
Bielsk Podlaski,Poland,Podlasie,775986
Białystok,Poland,Podlasie,776069
Biała Podlaska,Poland,Lublin Voivodeship,776175
Bartoszyce,Poland,Warmian-Masurian Voivodeship,776337
Augustów,Poland,Podlasie,776597
Żywiec,Poland,Silesian Voivodeship,3079855
Żory,Poland,Silesian Voivodeship,3080004
Złotów,Poland,Greater Poland Voivodeship,3080071
Złotoryja,Poland,Lower Silesian Voivodeship,3080074
Zielona Góra,Poland,Lubusz,3080165
Zgorzelec,Poland,Lower Silesian Voivodeship,3080231
Zgierz,Poland,Łódź Voivodeship,3080251
Zduńska Wola,Poland,Łódź Voivodeship,3080414
Zawiercie,Poland,Silesian Voivodeship,3080526
Żary,Poland,Lubusz,3080644
Zakopane,Poland,Lesser Poland Voivodeship,3080866
Żagań,Poland,Lubusz,3080944
Zabrze,Poland,Silesian Voivodeship,3080985
Ząbkowice Śląskie,Poland,Lower Silesian Voivodeship,3081046
Września,Poland,Greater Poland Voivodeship,3081324
Wrocław,Poland,Lower Silesian Voivodeship,3081368
Wodzisław Śląski,Poland,Silesian Voivodeship,3081677
Włocławek,Poland,Kujawsko-Pomorskie,3081741
Wieluń,Poland,Łódź Voivodeship,3082197
Wejherowo,Poland,Pomeranian Voivodeship,3082473
Wałcz,Poland,West Pomeranian Voivodeship,3082704
Wałbrzych,Poland,Lower Silesian Voivodeship,3082707
Wągrowiec,Poland,Greater Poland Voivodeship,3082712
Wadowice,Poland,Lesser Poland Voivodeship,3082722
Ustroń,Poland,Silesian Voivodeship,3082751
Ustka,Poland,Pomeranian Voivodeship,3082756
Tychy,Poland,Silesian Voivodeship,3082914
Turek,Poland,Greater Poland Voivodeship,3082998
Trzebinia,Poland,Lesser Poland Voivodeship,3083111
Trzcianka,Poland,Greater Poland Voivodeship,3083185
Toruń,Poland,Kujawsko-Pomorskie,3083271
Tczew,Poland,Pomeranian Voivodeship,3083426
Tarnowskie Góry,Poland,Silesian Voivodeship,3083440
Szczecinek,Poland,West Pomeranian Voivodeship,3083826
Szczecin,Poland,West Pomeranian Voivodeship,3083829
Szamotuły,Poland,Greater Poland Voivodeship,3083878
Świnoujście,Poland,West Pomeranian Voivodeship,3083955
Świętochłowice,Poland,Silesian Voivodeship,3083988
Świebodzin,Poland,Lubusz,3084062
Świecie,Poland,Kujawsko-Pomorskie,3084074
Świebodzice,Poland,Lower Silesian Voivodeship,3084084
Świdwin,Poland,West Pomeranian Voivodeship,3084085
Świdnica,Poland,Lower Silesian Voivodeship,3084093
Swarzędz,Poland,Greater Poland Voivodeship,3084130
Sulechów,Poland,Lubusz,3084241
Strzelce Opolskie,Poland,Opole Voivodeship,3084415
Strzegom,Poland,Lower Silesian Voivodeship,3084440
Starogard Gdański,Poland,Pomeranian Voivodeship,3084826
Stargard Szczeciński,Poland,West Pomeranian Voivodeship,3084840
Środa Wielkopolska,Poland,Greater Poland Voivodeship,3085045
Śrem,Poland,Greater Poland Voivodeship,3085056
Sosnowiec,Poland,Silesian Voivodeship,3085128
Sopot,Poland,Pomeranian Voivodeship,3085151
Solec Kujawski,Poland,Kujawsko-Pomorskie,3085172
Słupsk,Poland,Pomeranian Voivodeship,3085450
Słubice,Poland,Lubusz,3085495
Skawina,Poland,Lesser Poland Voivodeship,3085807
Sierpc,Poland,Masovian Voivodeship,3085941
Sieradz,Poland,Łódź Voivodeship,3085978
Siemianowice Śląskie,Poland,Silesian Voivodeship,3086024
Rypin,Poland,Kujawsko-Pomorskie,3086511
Rydułtowy,Poland,Silesian Voivodeship,3086531
Rybnik,Poland,Silesian Voivodeship,3086586
Rumia,Poland,Pomeranian Voivodeship,3086706
Ruda Śląska,Poland,Silesian Voivodeship,3086800
Reda,Poland,Pomeranian Voivodeship,3087281
Rawicz,Poland,Greater Poland Voivodeship,3087307
Radzionków,Poland,Silesian Voivodeship,3087418
Radomsko,Poland,Łódź Voivodeship,3087497
Radlin,Poland,Silesian Voivodeship,3087529
Racibórz,Poland,Silesian Voivodeship,3087584
Pyskowice,Poland,Silesian Voivodeship,3087628
Pszczyna,Poland,Silesian Voivodeship,3087705
Pruszcz Gdański,Poland,Pomeranian Voivodeship,3088034
Prudnik,Poland,Opole Voivodeship,3088065
Poznań,Poland,Greater Poland Voivodeship,3088171
Polkowice,Poland,Lower Silesian Voivodeship,3088435
Police,Poland,West Pomeranian Voivodeship,3088461
Płock,Poland,Masovian Voivodeship,3088825
Pleszew,Poland,Greater Poland Voivodeship,3088848
Piotrków Trybunalski,Poland,Łódź Voivodeship,3088972
Piła,Poland,Greater Poland Voivodeship,3089033
Piekary Śląskie,Poland,Silesian Voivodeship,3089125
Pabianice,Poland,Łódź Voivodeship,3089578
Ozorków,Poland,Łódź Voivodeship,3089582
Oświęcim,Poland,Lesser Poland Voivodeship,3089658
Ostrów Wielkopolski,Poland,Greater Poland Voivodeship,3089684
Ostróda,Poland,Warmian-Masurian Voivodeship,3089779
Orzesze,Poland,Silesian Voivodeship,3089965
Opole,Poland,Opole Voivodeship,3090048
Olkusz,Poland,Lesser Poland Voivodeship,3090146
Oleśnica,Poland,Lower Silesian Voivodeship,3090170
Oława,Poland,Lower Silesian Voivodeship,3090205
Oborniki,Poland,Greater Poland Voivodeship,3090403
Nysa,Poland,Opole Voivodeship,3090436
Nowy Tomyśl,Poland,Greater Poland Voivodeship,3090452
Nowogard,Poland,West Pomeranian Voivodeship,3090558
Nowa Sól,Poland,Lubusz,3090764
Nowa Ruda,Poland,Lower Silesian Voivodeship,3090768
Namysłów,Poland,Opole Voivodeship,3091141
Nakło nad Notecią,Poland,Kujawsko-Pomorskie,3091150
Myszków,Poland,Silesian Voivodeship,3091217
Mysłowice,Poland,Silesian Voivodeship,3091232
Myślenice,Poland,Lesser Poland Voivodeship,3091256
Mikołów,Poland,Silesian Voivodeship,3091831
Międzyrzecz,Poland,Lubusz,3091969
Malbork,Poland,Pomeranian Voivodeship,3092472
Luboń,Poland,Greater Poland Voivodeship,3092856
Lubliniec,Poland,Silesian Voivodeship,3092906
Lubin,Poland,Lower Silesian Voivodeship,3092931
Lubań,Poland,Lower Silesian Voivodeship,3093040
Łowicz,Poland,Łódź Voivodeship,3093066
Łódź,Poland,Łódź Voivodeship,3093133
Libiąż,Poland,Lesser Poland Voivodeship,3093457
Leszno,Poland,Greater Poland Voivodeship,3093524
Legnica,Poland,Lower Silesian Voivodeship,3093692
Lędziny,Poland,Silesian Voivodeship,3093708
Łęczyca,Poland,Łódź Voivodeship,3093726
Lębork,Poland,Pomeranian Voivodeship,3093739
Łaziska Górne,Poland,Silesian Voivodeship,3093785
Łask,Poland,Łódź Voivodeship,3093902
Kwidzyn,Poland,Pomeranian Voivodeship,3094086
Kutno,Poland,Łódź Voivodeship,3094170
Krotoszyn,Poland,Greater Poland Voivodeship,3094625
Krapkowice,Poland,Opole Voivodeship,3094788
Kraków,Poland,Lesser Poland Voivodeship,3094802
Koszalin,Poland,West Pomeranian Voivodeship,3095049
Kostrzyn nad Odrą,Poland,Lubusz,3095057
Kościerzyna,Poland,Pomeranian Voivodeship,3095126
Kościan,Poland,Greater Poland Voivodeship,3095151
Konstantynów Łódzki,Poland,Łódź Voivodeship,3095277
Konin,Poland,Greater Poland Voivodeship,3095321
Kołobrzeg,Poland,West Pomeranian Voivodeship,3095795
Koło,Poland,Greater Poland Voivodeship,3095797
Knurów,Poland,Silesian Voivodeship,3095971
Kluczbork,Poland,Opole Voivodeship,3096003
Kłodzko,Poland,Lower Silesian Voivodeship,3096053
Kęty,Poland,Lesser Poland Voivodeship,3096328
Kędzierzyn-Koźle,Poland,Opole Voivodeship,3096372
Katowice,Poland,Silesian Voivodeship,3096472
Kartuzy,Poland,Pomeranian Voivodeship,3096525
Kamienna Góra,Poland,Lower Silesian Voivodeship,3096779
Kalisz,Poland,Greater Poland Voivodeship,3096880
Jelenia Góra,Poland,Lower Silesian Voivodeship,3097257
Jelcz,Poland,Lower Silesian Voivodeship,3097271
Jaworzno,Poland,Silesian Voivodeship,3097333
Jawor,Poland,Lower Silesian Voivodeship,3097367
Jastrzębie Zdrój,Poland,Silesian Voivodeship,3097391
Jarocin,Poland,Greater Poland Voivodeship,3097528
Inowrocław,Poland,Kujawsko-Pomorskie,3097872
Iława,Poland,Warmian-Masurian Voivodeship,3097902
Gubin,Poland,Lubusz,3098130
Gryfino,Poland,West Pomeranian Voivodeship,3098200
Gryfice,Poland,West Pomeranian Voivodeship,3098201
Grudziądz,Poland,Kujawsko-Pomorskie,3098218
Gostynin,Poland,Masovian Voivodeship,3098619
Gostyń,Poland,Greater Poland Voivodeship,3098625
Gorzów Wielkopolski,Poland,Lubusz,3098722
Goleniów,Poland,West Pomeranian Voivodeship,3098966
Gniezno,Poland,Greater Poland Voivodeship,3099112
Głuchołazy,Poland,Opole Voivodeship,3099169
Głowno,Poland,Łódź Voivodeship,3099180
Głogów,Poland,Lower Silesian Voivodeship,3099213
Gliwice,Poland,Silesian Voivodeship,3099230
Gdynia,Poland,Pomeranian Voivodeship,3099424
Gdańsk,Poland,Pomeranian Voivodeship,3099434
Fordon,Poland,Kujawsko-Pomorskie,3099654
Elbląg,Poland,Warmian-Masurian Voivodeship,3099759
Dzierżoniów,Poland,Lower Silesian Voivodeship,3099828
Dąbrowa Górnicza,Poland,Silesian Voivodeship,3100796
Częstochowa,Poland,Silesian Voivodeship,3100946
Czerwionka-Leszczyny,Poland,Silesian Voivodeship,3100974
Czeladź,Poland,Silesian Voivodeship,3101057
Czechowice-Dziedzice,Poland,Silesian Voivodeship,3101076
Cieszyn,Poland,Silesian Voivodeship,3101321
Chrzanów,Poland,Lesser Poland Voivodeship,3101547
Choszczno,Poland,West Pomeranian Voivodeship,3101613
Chorzów,Poland,Silesian Voivodeship,3101619
Chojnice,Poland,Pomeranian Voivodeship,3101672
Chodzież,Poland,Greater Poland Voivodeship,3101680
Chełmża,Poland,Kujawsko-Pomorskie,3101787
Chełmno,Poland,Kujawsko-Pomorskie,3101795
Bytów,Poland,Pomeranian Voivodeship,3101943
Bytom,Poland,Silesian Voivodeship,3101950
Bydgoszcz,Poland,Kujawsko-Pomorskie,3102014
Brzeg,Poland,Opole Voivodeship,3102459
Brodnica,Poland,Kujawsko-Pomorskie,3102627
Braniewo,Poland,Warmian-Masurian Voivodeship,3102677
Bolesławiec,Poland,Lower Silesian Voivodeship,3102987
Boguszów-Gorce,Poland,Lower Silesian Voivodeship,3103034
Bogatynia,Poland,Lower Silesian Voivodeship,3103096
Bieruń,Poland,Silesian Voivodeship,3103365
Bielsko-Biala,Poland,Silesian Voivodeship,3103402
Bielawa,Poland,Lower Silesian Voivodeship,3103476
Białogard,Poland,West Pomeranian Voivodeship,3103556
Bełchatów,Poland,Łódź Voivodeship,3103709
Będzin,Poland,Silesian Voivodeship,3103719
Andrychów,Poland,Lesser Poland Voivodeship,3104115
Aleksandrów Łódzki,Poland,Łódź Voivodeship,3104132
Jelcz Laskowice,Poland,Lower Silesian Voivodeship,7303641
